Zelant
Schotlant
Middelburch
Zeelant
Zeelant
Westmonstersen kercktooren
Middelburch
Groote mart
Middelburch
de Mart
stadtshuys
Zuydampoorte
Haven
Dam
Haven licht
Abdie
Sobburch
Mart
Middelburch
Westcappel
Westcappel
Middelburch
Wescappel
Middelburch
Brussel
Middelburch
Brabant
Antwerpen
Vlissinge
Vlissinge
Aermuyen
Rammekens
Middelburch
Rammekens
Vlissinghe
Oostreweel
Middelburch
Brusselle
Abdiessen tooren
St. Pieters kercke
de Mart
Middelburch
Spaeingen
Zeelant
Vlissinge
Walcheren
Zeelant
Zeelant
Kouckercke
Westersobburch
Soutelande
St. Lauwereys
Soutelande
Middelburch
Middelburch
Noordampoorte
Nieuhaven
de Geere
Langevilepoorte
Zeyspoorte
Nieuhaven
St. Janshof
St.-Jansstrate
e Haven
Schravestrate
Langendelft
Antwerpen
Vlissinge
Antwerpen
Ameniciehuys
Princenhuys
Nederlanden
Vlissinge
Vlissinge
Middelburch
Vlissinge
Middelburch
den Briel
den Briel
Middelburch
Vlissinge
stadtshuys
Vlissinge
Middelburch
Hont
Vlissinge
Brabant
Vlaenderen
Middelburch
Vlissinge
Vlissinghe
Middelburch
Vlissinge
Middelburch
Vlissinge
Middelburch
Vlissinge
Middelburch
Vlissinge
Middelburch
Vlissinge
Vlissingen
den Brie
Hont
Middelburch
Vlissinge
Veere
Aermuyen
Middelburch
Middelburch
Middelburch
Middelburch
Zeelant
Middelburch
Walchgeren
Middelburch
Rammekens
Aermuyen
Westcappel
Westcappel
Veere
Walcheren
Middelburch
Middelburch
Duytsen
Middelburch
Langeville poorte
Middelburch
Dampoorte
Langevillepoorte
Dampoorte
Spaeingaers
Spaeingaert
Spaeinaer
Spaeinse
Zuydampoorte
Noordampoorte
Oude ende Nieu haven
Aermuyen
Zeelant
Hollant
Brabant
Vlaenderen
Dampoorte
Langevillepoorte
Middelburch
Berghen op Zoom
Spaeingers
Waelen
Vlissinge
Middelburch
Berghen
Veere
en Haeck
anghepoldert
Onse-Lieve-Vrouwepolder
Middelburch
Amstelredam
Oudewater
Dordrecht
Delft
Walen
Dort
Goude
Leyden
Aernem
Hollant
Utrecht
Hollant
tUytrecht
Nijmwegen
Amsterdam
Nijmweghen
Amsterdam
Berghen
Berghen in Henegouwen
Vrancrijck
Vranckrijk
Amstelredam
buyten Amsterdam
Delft
Delft
Delft
dOude Kerck
Syon
Amsterdam
Utrecht
den Reguliershof
