kroniek,1150-1200,1200-1250,1250-1300,1300-1350,1350-1400,1400-1450,1450-1500,1500-1550,1550-1600,1600-1650
1576_Zier_Clae,0,0,0,0,0,0,0,0,24,0
1577_Utre_Anon,0,0,0,0,0,0,0,0,19,0
1579_Amst_Maes,1,0,0,0,0,0,1,1,1279,0
1581_Haar_Verw,0,0,0,0,0,0,0,1,915,0
1582_Stee_Steg,0,1,0,0,0,0,0,6,30,0
1592_Cule_Vrem,0,0,0,0,0,0,3,3,58,0
1602_Midd_Joos,0,0,0,0,0,0,0,0,11,0
1609_Bosc_Anon,0,3,1,1,0,3,5,11,68,28
1609_Oist_Hoev,0,1,2,1,2,1,0,5,65,19
